781000 16 8
782000 17 7
783000 17 7
784000 18 6
787000 18 6
788000 20 4
790000 18 6
791000 21 3
793000 17 7
794000 17 7
795000 20 4
796000 19 5
797000 12 12
798000 21 3
799000 14 10
801000 19 5
802000 22 2
803000 19 5
804000 18 6
805000 15 9
807000 17 7
808000 15 9
809000 18 6
810000 17 7
811000 17 7
812000 13 11
814000 18 6
815000 12 12
816000 18 6
817000 19 5
818000 19 5
820000 16 8
823000 16 8
828000 19 5
829000 17 7
830000 22 2
831000 21 3
832000 19 5
833000 17 7
834000 15 9
835000 18 6
836000 16 8
837000 18 6
838000 21 3
839000 19 5
840000 21 3
841000 19 5
842000 19 5
843000 19 5
844000 19 5
845000 21 3
846000 19 5
847000 20 4
848000 21 3
849000 21 3
850000 21 3
851000 19 5
852000 22 2
853000 16 8
854000 22 2
855000 20 4
856000 20 4
857000 21 3
858000 21 3
859000 22 2
860000 24 0
861000 22 2
862000 21 3
863000 24 0
864000 20 4
865000 22 2
866000 21 3
867000 22 2
868000 19 5
869000 19 5
870000 19 5
871000 15 9
872000 20 4
873000 13 11
874000 14 10
875000 23 1
876000 23 1
877000 22 2
878000 22 2
879000 21 3
880000 19 5
881000 18 6
882000 17 7
883000 20 4
884000 20 4
885000 19 5
886000 19 5
887000 22 2
888000 19 5
889000 13 11
890000 16 8
891000 18 6
892000 14 10
893000 18 6
894000 15 9
895000 18 6
896000 18 6
897000 13 11
898000 13 11
899000 12 12
900000 17 7
901000 17 7
902000 15 9
903000 15 9
904000 21 3
905000 12 12
906000 17 7
908000 13 11
909000 17 7
910000 16 8
911000 18 6
912000 12 12
913000 15 9
914000 12 12
915000 19 5
916000 17 7
917000 15 9
918000 16 8
920000 13 11
921000 17 7
922000 19 5
923000 12 12
924000 12 12
925000 12 12
927000 12 12
928000 14 10
929000 16 8
930000 14 10
931000 14 10
932000 16 8
933000 17 7
934000 17 7
935000 18 6
936000 15 9
937000 15 9
938000 15 9
939000 15 9
940000 15 9
941000 15 9
942000 15 9
943000 19 5
944000 18 6
945000 12 12
946000 17 7
947000 15 9
948000 15 9
949000 13 11
950000 15 9
951000 15 9
952000 17 7
953000 15 9
954000 15 9
955000 17 7
956000 12 12
957000 15 9
958000 17 7
959000 15 9
960000 15 9
961000 15 9
962000 17 7
963000 16 8
964000 15 9
965000 18 6
966000 16 8
967000 19 5
968000 19 5
969000 16 8
970000 17 7
971000 16 8
972000 19 5
973000 19 5
974000 20 4
975000 18 6
976000 18 6
977000 15 9
978000 17 7
979000 15 9
980000 14 10
981000 15 9
982000 17 7
983000 13 11
984000 14 10
985000 17 7
986000 20 4
987000 14 10
988000 16 8
989000 17 7
990000 18 6
991000 16 8
992000 17 7
993000 13 11
994000 20 4
995000 19 5
996000 13 11
997000 18 6
998000 21 3
999000 16 8
1000000 18 6
1001000 18 6
1002000 18 6
1003000 19 5
1004000 18 6
1005000 20 4
1006000 17 7
1007000 16 8
1008000 16 8
1009000 18 6
1010000 17 7
1011000 14 10
1012000 15 9
1013000 15 9
1014000 19 5
1015000 16 8
1016000 17 7
1017000 17 7
1018000 16 8
1019000 17 7
1020000 21 3
1021000 20 4
1022000 20 4
1023000 17 7
1024000 18 6
1025000 17 7
1026000 17 7
1027000 18 6
1028000 19 5
1029000 16 8
1030000 16 8
1031000 16 8
1032000 17 7
1033000 16 8
1034000 16 8
1035000 17 7
1036000 19 5
1037000 13 11
1038000 17 7
1039000 15 9
1040000 16 8
1041000 15 9
1042000 17 7
1043000 14 10
1044000 12 12
1045000 14 10
1046000 17 7
1047000 16 8
1048000 14 10
1049000 16 8
1050000 15 9
1051000 18 6
1052000 18 6
1053000 15 9
1054000 17 7
1055000 15 9
1056000 17 7
1057000 14 10
1058000 16 8
1059000 17 7
1060000 17 7
1061000 17 7
1062000 16 8
1063000 17 7
1064000 16 8
1065000 16 8
1066000 14 10
1067000 15 9
1068000 15 9
1069000 14 10
1070000 15 9
